gene, ct.1,ct.2,ct.3,ct.4,kd.1,kd.2,kd.3
FBgn0028425,2408,2800,5913,4561,2542,2759,3965
FBgn0028426,376,448,1083,701,388,467,730
FBgn0028427,497,646,1415,919,715,808,1229
FBgn0028429,367,404,1083,637,375,439,830
FBgn0028430,694,937,3859,3278,853,917,3643
FBgn0028434,25,50,97,67,85,101,138
FBgn0028436,120,167,308,225,184,183,239
FBgn0028467,757,816,1691,1318,831,818,1370
FBgn0028468,600,854,1177,1348,769,843,1229
FBgn0028470,914,909,2171,1439,985,1050,1769
FBgn0028471,484,543,1205,695,547,600,909
FBgn0028473,17136,22108,35750,21171,14035,16172,18333
FBgn0028474,1239,1269,2355,1558,1335,1412,1724
FBgn0028475,926,1054,2249,1513,1163,1340,1792
FBgn0028476,684,703,1403,1034,745,774,1265
FBgn0028479,2175,2534,3810,3430,2237,2234,3016
FBgn0028480,1338,1534,2490,2151,1452,1619,1849
FBgn0028482,66,84,138,47,49,47,74
FBgn0028484,909,978,1732,1161,1002,1156,1403
FBgn0028487,250,311,665,469,259,297,435
FBgn0028490,6549,7025,12799,6617,5480,6372,6450
FBgn0028491,101,117,181,89,166,173,241
FBgn0028494,678,628,1438,803,632,654,1086
FBgn0028497,1018,1196,2321,1501,1159,1259,1591
FBgn0028499,128,156,201,157,171,212,194
FBgn0028500,936,1003,1910,1388,967,1001,1350
FBgn0028504,88,102,249,191,111,116,215
FBgn0028506,271,280,841,486,291,299,751
FBgn0028507,382,455,711,472,479,585,721
FBgn0028509,813,795,1475,1151,822,854,1148
FBgn0028513,56,31,100,7,28,23,101
FBgn0028514,401,432,1254,1093,256,252,535
FBgn0028515,897,1078,2280,1530,1062,1122,1690
FBgn0028523,387,436,846,629,443,469,1076
FBgn0028530,122,183,309,223,200,244,321
FBgn0028538,1136,1267,2311,1997,1390,1366,1986
FBgn0028539,1540,1604,3708,2427,1672,1665,3182
FBgn0028540,63,106,206,187,57,64,108
FBgn0028541,1110,1223,2484,1901,1281,1421,2265
FBgn0028542,927,1344,1438,1465,633,727,663
FBgn0028543,565,727,904,666,453,500,507
FBgn0028546,446,621,1117,810,607,676,1112
FBgn0028550,109,102,289,121,133,107,212
FBgn0028552,290,392,730,672,366,433,730
FBgn0028554,861,980,1652,1273,1105,1040,1635
FBgn0028563,788,908,1538,1375,596,635,983
FBgn0028572,191,222,353,286,218,236,230
FBgn0028573,61,58,124,46,91,89,130
FBgn0028577,2009,2125,4088,2111,2018,2203,2587
FBgn0028579,391,441,909,592,454,496,773
FBgn0028582,1406,1430,3862,2100,1374,1607,3049
FBgn0028646,503,551,1033,646,485,470,687
FBgn0028647,143,136,356,201,149,172,307
FBgn0028648,161,196,457,243,201,268,311
FBgn0028662,1362,1873,2984,2968,1921,1917,2844
FBgn0028663,547,721,1260,1072,589,770,1237
FBgn0028664,79,91,258,150,61,82,185
FBgn0028665,1442,1909,3003,2566,1835,2105,2609
FBgn0028670,2243,2828,4577,3950,3410,3735,4503
FBgn0028671,2110,2255,4080,2592,1939,2116,2801
FBgn0028675,141,139,299,141,150,176,251
FBgn0028683,78,124,269,255,108,109,310
FBgn0028684,590,719,1313,1043,863,942,1474
FBgn0028685,1105,1344,2206,1607,1466,1541,1748
FBgn0028686,1342,1763,2750,2325,2111,2094,2730
FBgn0028687,1656,2118,3870,2987,2289,2566,3309
FBgn0028688,863,1071,1804,1399,1163,1371,1402
FBgn0028689,1477,1712,3432,2620,1796,1928,3061
FBgn0028690,982,1165,2680,1751,1416,1576,2554
FBgn0028691,530,694,1346,1028,773,853,1374
FBgn0028692,2426,2714,4555,3774,3335,3685,4499
FBgn0028693,535,673,1274,1039,824,809,1128
FBgn0028694,894,1166,2036,1569,1405,1546,2002
FBgn0028695,1797,2044,3576,3187,2507,2834,3069
FBgn0028697,10132,16946,32485,26070,13466,13248,31006
FBgn0028700,213,265,455,329,247,292,283
FBgn0028703,445,499,876,677,423,430,712
FBgn0028704,21,21,65,44,29,30,58
FBgn0028707,30,45,72,65,36,34,65
FBgn0028708,141,179,344,243,173,181,277
FBgn0028717,1056,1194,2103,1299,1009,1056,1372
FBgn0028734,2727,2593,5508,3660,3066,3149,4764
FBgn0028737,5293,7025,11471,8838,6810,7182,8897
FBgn0028740,50,43,114,58,75,79,95
FBgn0028744,813,895,1952,1363,832,922,1264
FBgn0028746,49,66,227,93,81,84,168
FBgn0028833,710,1003,1654,1154,983,1037,1444
FBgn0028836,291,355,759,454,334,421,659
FBgn0028837,296,346,598,444,405,429,483
FBgn0028863,102,128,275,114,143,134,264
FBgn0028886,67,85,158,87,84,92,153
FBgn0028894,386,491,1334,907,431,444,1078
FBgn0028895,40,59,84,64,52,58,70
FBgn0028897,54,99,135,99,89,87,99
FBgn0028906,42,40,65,30,36,25,58
FBgn0028916,653,676,1136,1074,587,660,840
FBgn0028919,118,138,295,198,143,228,208
FBgn0028926,196,239,371,237,232,251,250
FBgn0028931,71,94,138,110,97,98,127
FBgn0028932,48,63,110,75,75,67,101
FBgn0028936,653,918,1251,1575,690,717,1011
FBgn0028940,254,364,794,622,284,320,519
FBgn0028952,38,58,135,77,63,62,132
FBgn0028953,1201,1292,3149,1497,1156,1420,1945
FBgn0028954,910,1073,2676,1624,1502,1412,2788
FBgn0028955,34,45,102,68,31,28,50
FBgn0028956,200,233,611,578,201,194,577
FBgn0028962,329,352,653,475,341,380,458
FBgn0028965,386,467,852,543,473,517,594
FBgn0028968,2283,2756,4455,3656,2593,2849,3672
FBgn0028969,3180,3825,6406,4549,3836,4275,4899
FBgn0028970,366,416,560,442,326,374,287
FBgn0028974,463,509,971,750,508,534,812
FBgn0028978,355,360,706,422,485,533,551
FBgn0028979,281,280,591,466,295,313,448
FBgn0028980,137,138,373,255,159,192,314
FBgn0028982,2800,2891,5056,3537,2958,3100,3780
FBgn0028983,217,266,481,324,264,329,396
FBgn0028984,4050,5331,8092,6371,4651,5376,7284
FBgn0028985,471,578,1265,786,670,732,1216
FBgn0028990,1064,1404,2192,1343,791,912,972
FBgn0028991,244,258,440,231,312,306,300
FBgn0028992,369,421,925,720,434,494,1028
FBgn0028993,43,38,209,124,30,21,245
FBgn0028996,27,19,79,60,28,28,60
FBgn0028997,107,156,334,251,149,186,318
FBgn0029002,621,816,1744,530,1811,2098,3406
FBgn0029006,1423,1565,3330,2269,1480,1501,2280
FBgn0029067,712,745,2221,1385,666,745,1797
FBgn0029079,271,359,642,578,368,413,513
FBgn0029088,672,694,1734,1293,847,887,1648
FBgn0029092,5984,7429,14876,7542,4851,5396,8526
FBgn0029093,8545,11682,16273,12724,9849,11241,12372
FBgn0029094,448,537,1070,784,526,506,858
FBgn0029095,3400,3804,5658,4113,2691,3137,3383
FBgn0029113,1427,1735,3535,2414,1894,2115,2994
FBgn0029114,1033,994,2376,1572,805,863,1625
FBgn0029117,88,120,254,150,124,145,171
FBgn0029118,319,385,778,552,473,535,728
FBgn0029121,110,144,218,197,138,198,235
FBgn0029131,1017,1118,1838,1423,970,1090,1287
FBgn0029133,1510,1870,4444,2789,1888,2024,3785
FBgn0029134,1064,1252,2196,1673,1479,1765,1931
FBgn0029147,492,618,1036,1079,1011,1018,1338
FBgn0029148,295,459,737,800,482,530,923
FBgn0029152,448,454,1021,729,476,486,1057
FBgn0029155,2705,2936,6123,4615,2756,3010,4277
FBgn0029157,852,868,1631,996,982,988,1084
FBgn0029158,135,159,306,227,164,184,232
FBgn0029167,3828,4002,8195,5627,961,923,1542
FBgn0029173,164,215,339,302,215,223,335
FBgn0029174,1263,1658,3141,2350,1691,1880,3015
FBgn0029176,18952,23781,35972,26353,21784,23785,27001
FBgn0029502,271,329,620,331,340,360,460
FBgn0029503,185,272,556,388,240,252,413
FBgn0029504,883,801,2113,1186,682,701,1494
FBgn0029506,5865,7511,15346,14519,9516,10298,21974
FBgn0029507,1055,1340,2057,1574,1200,1533,1755
FBgn0029512,605,717,1670,1060,787,815,1300
FBgn0029514,96,143,277,198,148,193,274
FBgn0029521,55,53,117,114,81,84,195
FBgn0029525,207,237,498,417,255,261,453
FBgn0029526,16,27,49,53,30,32,74
FBgn0029529,64,71,128,86,93,82,115
FBgn0029594,191,281,516,427,347,383,547
FBgn0029596,36,27,68,49,55,46,73
FBgn0029608,463,612,1080,921,404,493,576
FBgn0029629,3972,5121,9784,5124,4755,5502,6323
FBgn0029648,27,32,49,42,28,32,68
FBgn0029659,25,31,80,25,49,51,126
FBgn0029660,71,46,172,31,39,48,156
FBgn0029661,45,39,163,24,37,45,145
FBgn0029662,324,282,672,283,344,410,524
FBgn0029663,42,33,94,61,28,50,113
FBgn0029664,330,401,776,456,511,606,994
FBgn0029665,78,87,229,105,115,97,198
FBgn0029666,361,364,1163,545,373,431,1103
FBgn0029672,171,221,626,370,187,211,483
FBgn0029676,37,48,570,307,57,36,589
FBgn0029685,963,1115,1813,1633,931,1029,1479
FBgn0029686,45,59,119,135,55,44,138
FBgn0029687,1303,1378,4054,2459,1486,1686,3806
FBgn0029688,2623,2673,5357,3394,2671,2797,3907
FBgn0029689,220,245,409,327,245,282,346
FBgn0029693,353,461,854,592,548,576,891
FBgn0029704,337,384,882,667,435,464,718
FBgn0029706,531,658,1129,859,587,614,883
FBgn0029709,1074,1411,2367,1696,1438,1634,1787
FBgn0029711,109,126,255,135,129,168,188
FBgn0029713,293,390,708,459,477,497,692
FBgn0029714,127,195,305,276,168,192,283
FBgn0029715,469,493,1227,668,499,552,907
FBgn0029718,139,200,509,223,173,212,379
FBgn0029736,720,845,1337,1015,910,990,1100
FBgn0029737,873,1111,1233,1333,1146,1078,1211
FBgn0029738,1824,1882,5373,2473,1926,2206,3482
FBgn0029755,272,384,520,459,354,400,380
FBgn0029756,102,116,198,160,121,120,144
FBgn0029763,898,847,1440,974,895,1038,1240
FBgn0029766,16975,19953,33480,9763,11687,14249,13343
FBgn0029771,306,300,661,451,400,425,651
FBgn0029778,387,404,663,425,512,586,549
FBgn0029783,53,88,137,81,75,71,97
FBgn0029785,13941,22432,39396,23055,17910,19452,33542
FBgn0029789,252,266,472,432,299,344,379
FBgn0029791,184,156,219,34,121,118,115
FBgn0029798,391,508,967,785,400,441,684
FBgn0029799,46,48,91,62,38,76,69
FBgn0029800,74,88,180,129,56,64,146
FBgn0029801,1241,1299,3066,1602,788,909,1254
FBgn0029813,35,42,71,52,47,48,69
FBgn0029818,842,1009,1450,1285,986,1140,1465
FBgn0029819,434,491,747,730,527,598,716
FBgn0029820,947,1101,1827,1190,910,985,1267
FBgn0029821,59,75,136,86,58,72,121
FBgn0029822,472,457,973,531,487,525,716
FBgn0029823,1393,1737,2523,2032,2380,2456,2590
FBgn0029824,208,238,400,189,270,245,355
FBgn0029825,21,43,113,94,33,21,185
FBgn0029833,329,438,655,563,428,463,560
FBgn0029840,887,911,1492,1063,859,903,997
FBgn0029849,293,356,611,644,277,324,548
FBgn0029853,481,561,1218,819,684,748,932
FBgn0029854,224,295,549,367,319,357,611
FBgn0029856,36,93,259,554,108,85,411
FBgn0029857,407,520,791,579,461,548,577
FBgn0029858,132,139,151,199,180,166,177
FBgn0029861,437,429,762,463,612,691,817
FBgn0029867,1105,1237,2331,1530,1137,1291,1680
FBgn0029868,701,915,1612,1126,876,932,1116
FBgn0029870,1793,1964,3997,2218,1646,1802,2485
FBgn0029873,596,706,1457,628,713,849,947
FBgn0029874,250,288,420,319,333,342,353
FBgn0029878,1269,1359,3205,1721,1456,1620,3148
FBgn0029881,3596,3172,8207,3725,2447,2708,4629
FBgn0029882,575,883,1609,1165,833,978,1379
FBgn0029885,235,293,558,344,268,292,415
FBgn0029887,988,1065,1982,1191,1102,1280,1467
FBgn0029888,364,514,764,570,473,515,639
FBgn0029890,19,41,60,14,37,31,46
FBgn0029891,877,1009,1564,1192,881,991,1051
FBgn0029892,50,68,81,63,83,86,86
FBgn0029893,1744,1760,3388,1779,1492,1742,1925
FBgn0029894,270,237,700,238,225,247,425
FBgn0029895,79,98,189,62,137,144,220
FBgn0029896,540,543,1188,622,97,112,188
FBgn0029897,24328,35704,40341,33438,28668,31273,25526
FBgn0029899,2343,2253,5210,3045,2622,2736,4153
FBgn0029903,2686,2545,6150,4271,3239,3202,5870
FBgn0029905,502,537,975,488,558,601,595
FBgn0029906,238,274,386,323,269,306,344
FBgn0029911,526,546,1197,578,525,580,897
FBgn0029912,632,656,904,616,608,659,630
FBgn0029913,57,79,117,91,83,90,128
FBgn0029914,211,279,474,334,277,295,370
FBgn0029915,178,275,387,332,304,342,524
FBgn0029924,88,96,116,113,119,127,150
FBgn0029925,132,184,323,247,180,200,307
FBgn0029929,238,287,481,291,271,304,344
FBgn0029935,116,155,291,221,123,118,219
FBgn0029936,159,151,266,182,186,189,233
FBgn0029937,564,646,1039,674,608,691,749
FBgn0029941,1900,1919,3461,2287,2374,2565,2863
FBgn0029942,135,156,341,193,134,163,310
FBgn0029943,205,227,626,333,229,232,463
FBgn0029944,315,344,746,482,405,474,881
FBgn0029957,524,560,832,666,650,791,702
FBgn0029958,201,275,454,359,258,321,356
FBgn0029959,228,286,665,401,250,280,487
FBgn0029968,66,81,120,114,67,65,81
FBgn0029969,341,361,635,525,332,357,490
FBgn0029970,70,75,177,104,117,148,202
FBgn0029971,476,742,1419,861,622,747,1039
FBgn0029974,33,34,73,52,45,30,102
FBgn0029975,1441,1982,3364,2763,2541,2668,3887
FBgn0029976,1593,1769,3507,2557,1654,1772,2472
FBgn0029977,29,23,33,48,35,43,45
FBgn0029979,2126,1858,5818,2947,1921,1931,4875
FBgn0029980,189,271,372,391,232,230,304
FBgn0029992,544,648,1264,930,720,828,1074
FBgn0029996,898,993,2548,1331,712,858,1746
FBgn0029997,143,176,319,194,183,155,232
FBgn0029999,343,406,740,519,485,525,662
FBgn0030000,263,312,548,438,289,310,359
FBgn0030001,32,27,34,28,50,37,52
FBgn0030003,381,489,840,530,472,507,593
FBgn0030004,56,54,93,81,73,80,81
FBgn0030006,79,98,177,106,86,108,138
FBgn0030007,531,622,1002,765,651,750,784
FBgn0030008,142,173,283,183,169,194,233
FBgn0030010,42,57,92,76,60,64,86
FBgn0030012,154,169,287,176,218,259,211
FBgn0030013,247,358,609,435,309,372,439
FBgn0030017,105,112,182,110,110,127,153
FBgn0030018,1095,1086,2049,1418,1094,1223,1621
FBgn0030025,143,192,498,246,227,218,403
FBgn0030026,126,170,193,161,206,250,269
FBgn0030028,28,23,69,30,33,28,71
FBgn0030030,77,110,240,159,100,91,221
FBgn0030034,1111,887,1751,1070,998,907,1418
FBgn0030035,883,1089,1642,1476,1315,1381,1438
FBgn0030037,360,405,848,533,722,752,1099
FBgn0030038,1101,1537,2290,2049,1546,1820,2417
FBgn0030039,115,160,208,279,126,152,223
FBgn0030040,1243,1600,2549,2072,2027,2439,2493
FBgn0030041,96,127,226,66,10,16,27
FBgn0030048,377,491,1327,844,419,479,1107
FBgn0030049,2084,2125,4030,1888,1960,2239,2573
FBgn0030052,5628,6054,11597,6965,5184,5574,6372
FBgn0030053,285,355,540,468,465,503,571
FBgn0030054,2000,1910,4500,1898,1621,1862,2487
FBgn0030055,233,273,450,323,217,298,325
FBgn0030056,899,985,2046,1282,1119,1203,2152
FBgn0030057,184,249,517,310,276,349,514
FBgn0030060,407,467,889,614,532,529,679
FBgn0030061,435,547,1084,709,486,551,750
FBgn0030063,136,188,419,244,134,201,284
FBgn0030065,1104,1125,1742,1715,1314,1548,1359
FBgn0030066,153,217,368,231,135,176,285
FBgn0030067,1302,1741,2987,2060,1414,1636,1825
FBgn0030071,48,33,108,80,54,38,116
FBgn0030073,422,486,615,396,429,470,442
FBgn0030077,331,395,532,299,272,354,300
FBgn0030079,1315,1941,2397,2900,2296,2574,3422
FBgn0030081,157,180,350,264,178,201,262
FBgn0030082,319,370,797,469,371,407,627
FBgn0030086,4406,5399,7550,7652,5983,6466,7438
FBgn0030087,1798,1894,3569,2297,2228,2323,2752
FBgn0030088,97,115,277,179,135,111,265
FBgn0030089,1785,1754,3124,2290,1950,2092,2580
FBgn0030090,122,127,301,321,89,109,213
FBgn0030091,653,685,1329,834,782,825,1042
FBgn0030092,100,123,250,167,141,166,175
FBgn0030093,1411,1330,2340,1340,1635,1514,1702
FBgn0030096,354,413,661,477,387,436,511
FBgn0030099,221,284,464,266,260,304,372
FBgn0030100,28,37,74,53,41,52,65
FBgn0030101,31,44,105,62,46,60,113
FBgn0030109,1452,1737,3797,2756,1810,1882,3073
FBgn0030114,894,947,1454,724,700,850,919
FBgn0030121,274,341,643,365,282,344,426
FBgn0030122,278,325,443,446,322,376,437
FBgn0030136,11292,16807,37830,16635,12650,14388,25821
FBgn0030137,44,66,153,85,52,44,122
FBgn0030141,473,506,1016,647,603,694,750
FBgn0030151,905,1045,1866,1535,1209,1376,1899
FBgn0030170,151,149,370,324,154,174,281
FBgn0030177,355,454,737,491,375,429,566
FBgn0030178,52,72,126,93,64,78,103
FBgn0030183,72,72,237,74,66,78,190
FBgn0030189,211,287,479,267,316,341,496
FBgn0030196,122,168,360,255,218,235,367
FBgn0030206,206,261,370,351,253,314,336
FBgn0030208,691,784,1604,1036,838,885,1451
FBgn0030217,73,81,121,115,95,90,126
FBgn0030218,64,99,174,97,101,95,138
FBgn0030228,286,290,550,326,286,341,382
FBgn0030230,593,670,929,840,612,684,787
FBgn0030234,91,96,228,155,112,119,242
FBgn0030237,1488,2086,3706,2439,917,1174,1566
FBgn0030239,166,232,425,302,242,249,398
FBgn0030240,566,619,1140,713,540,639,639
FBgn0030241,773,820,1274,982,1119,1223,1319
FBgn0030242,107,138,218,166,137,173,198
FBgn0030243,1593,1530,2562,1711,1492,1413,1800
FBgn0030245,1510,1946,3579,2176,1596,1903,2148
FBgn0030246,1018,1115,2030,1370,1216,1268,1673
FBgn0030263,1028,1476,2280,1623,1478,1636,1944
FBgn0030266,1944,1724,2980,1760,2020,1975,2081
FBgn0030268,2532,2404,4962,3588,3141,3399,4416
FBgn0030269,331,418,731,522,403,420,614
FBgn0030271,28,28,70,57,28,23,37
FBgn0030274,348,410,666,508,424,470,542
FBgn0030276,1214,1280,2538,1595,1199,1366,1824
FBgn0030286,1455,1521,2554,1633,1465,1606,1956
FBgn0030289,729,806,1186,1076,893,956,928
FBgn0030291,58,73,227,104,69,68,116
FBgn0030292,140,154,301,210,169,165,256
FBgn0030293,1118,1192,2030,1605,1322,1306,1615
FBgn0030294,157,184,423,213,171,158,446
FBgn0030300,93,85,170,115,68,79,117
FBgn0030301,703,701,1759,987,728,783,1321
FBgn0030305,259,351,582,454,507,464,744
FBgn0030306,669,809,1604,1132,785,845,1241
FBgn0030309,4519,5859,11269,10004,5544,6469,7989
FBgn0030310,1231,1842,2498,2760,1776,2096,2669
FBgn0030311,492,544,1267,527,563,597,794
FBgn0030314,406,480,824,499,491,545,629
FBgn0030316,637,764,1138,816,803,903,926
FBgn0030317,28,45,73,52,35,49,60
FBgn0030318,1182,1416,2906,2299,2119,2139,2948
FBgn0030320,467,500,1126,791,590,625,1140
FBgn0030321,1926,2162,4750,2763,2216,2485,3713
FBgn0030322,181,285,586,357,377,367,696
FBgn0030323,104,118,234,155,125,128,181
FBgn0030326,103,184,226,201,70,55,89
FBgn0030327,288,323,542,344,295,350,417
FBgn0030328,1447,1546,3220,1707,1677,1818,2321
FBgn0030329,516,699,1204,858,648,675,963
FBgn0030330,254,269,423,345,298,335,381
FBgn0030331,705,865,1257,1204,821,943,1118
FBgn0030332,335,434,678,534,427,516,484
FBgn0030334,5929,7406,14876,10885,7051,8167,12985
FBgn0030336,1006,1078,1613,1118,1201,1270,1341
FBgn0030340,750,786,1095,942,827,988,834
FBgn0030341,688,897,1611,1098,940,1114,1411
FBgn0030342,414,436,684,649,404,492,635
FBgn0030343,986,988,1638,1426,1600,1732,1787
FBgn0030344,829,939,2015,1630,1166,1285,2191
FBgn0030345,140,213,319,235,197,229,335
FBgn0030346,101,138,192,142,140,165,142
FBgn0030347,190,238,406,313,209,213,241
FBgn0030349,1484,1560,3052,2399,1192,1235,1857
FBgn0030350,463,651,1388,660,649,681,1130
FBgn0030351,62,92,179,157,99,105,301
FBgn0030352,152,223,339,278,220,215,298
FBgn0030354,1380,1493,2747,1979,1436,1574,1959
FBgn0030357,47,60,145,125,51,50,146
FBgn0030358,162,204,280,207,159,170,230
FBgn0030361,59,91,160,101,113,150,209
FBgn0030362,4559,6408,10409,6840,4563,4966,5968
FBgn0030364,292,401,831,532,453,531,847
FBgn0030365,534,631,925,704,648,741,736
FBgn0030366,2567,2871,6428,4208,2987,3191,5348
FBgn0030367,40,61,80,67,51,65,80
FBgn0030369,26,39,55,92,40,54,81
FBgn0030373,122,204,478,247,225,241,347
FBgn0030391,216,274,459,342,303,355,443
FBgn0030396,14,25,29,28,28,41,34
FBgn0030400,1090,941,2022,1036,1110,1033,1561
FBgn0030403,828,972,1299,1021,818,890,860
FBgn0030406,124,136,325,207,131,162,294
FBgn0030407,21,37,79,61,38,32,54
FBgn0030410,67,68,136,109,86,115,101
FBgn0030411,68,81,141,93,96,78,144
FBgn0030412,978,1043,2353,1337,896,913,1552
FBgn0030417,102,96,234,51,81,65,165
FBgn0030418,251,273,490,349,237,272,508
FBgn0030420,699,685,2117,1102,610,630,1572
FBgn0030421,227,223,695,451,194,189,723
FBgn0030431,328,407,710,612,383,416,543
FBgn0030432,20,32,36,24,28,32,44
FBgn0030433,248,352,492,549,436,466,640
FBgn0030434,589,697,1152,801,662,699,753
FBgn0030435,488,621,999,830,638,645,937
FBgn0030447,313,471,644,594,477,549,638
FBgn0030451,669,873,1396,1146,737,842,991
FBgn0030452,729,874,1390,1161,570,583,753
FBgn0030456,392,440,837,770,599,652,950
FBgn0030457,317,351,695,576,390,438,636
FBgn0030460,246,371,436,427,351,410,525
FBgn0030465,467,544,836,556,445,529,593
FBgn0030466,1749,1777,3099,2359,2589,2661,3135
FBgn0030467,454,584,1023,857,735,764,1135
FBgn0030468,1227,1308,2401,1574,1339,1476,1783
FBgn0030469,1555,1665,2698,1199,1883,2183,2136
FBgn0030474,582,646,1458,866,734,873,1264
FBgn0030478,1001,1300,2091,1461,1102,1157,1607
FBgn0030479,378,354,1080,468,362,401,717
FBgn0030480,108,165,274,284,147,141,459
FBgn0030481,259,339,544,471,372,396,494
FBgn0030482,3059,3283,6618,4816,2976,3224,4574
FBgn0030484,749,937,1975,1019,957,1018,1405
FBgn0030485,169,229,492,243,302,363,488
FBgn0030486,1581,1551,3171,1919,1787,1927,2654
FBgn0030499,568,572,941,678,653,729,777
FBgn0030500,441,448,867,562,526,536,751
FBgn0030501,786,921,2446,1122,743,887,1651
FBgn0030502,1997,1953,4099,2501,1772,1830,3156
FBgn0030503,107,147,244,118,161,142,203
FBgn0030504,1952,2257,4111,3284,2361,2295,3193
FBgn0030505,1405,1297,2927,1530,1252,1289,1857
FBgn0030506,240,314,577,384,297,355,487
FBgn0030507,187,326,518,454,237,277,370
FBgn0030510,277,355,488,317,374,462,426
FBgn0030511,111,128,263,225,156,163,244
FBgn0030512,915,962,1637,1294,1001,1093,1633
FBgn0030514,1148,1314,2334,1625,1235,1371,1590
FBgn0030518,172,200,385,356,201,245,346
FBgn0030519,715,1034,1439,1296,812,988,1078
FBgn0030520,3643,4046,8414,4306,4324,4784,7441
FBgn0030521,3534,4335,6438,4870,3871,4638,5456
FBgn0030522,151,221,304,319,216,218,283
FBgn0030528,102,127,148,149,90,126,128
FBgn0030529,6899,7798,18054,10280,5342,6116,9712
FBgn0030530,1263,1305,2355,1565,1517,1750,1631
FBgn0030532,2608,2037,4591,2389,1997,2171,3259
FBgn0030545,147,211,332,301,274,338,378
FBgn0030552,331,394,630,502,386,493,528
FBgn0030554,208,239,380,334,218,226,244
FBgn0030555,147,175,287,214,185,198,236
FBgn0030556,979,1196,1972,1414,1157,1251,1357
FBgn0030571,140,193,379,232,238,208,278
FBgn0030572,201,263,515,378,245,265,387
FBgn0030575,25,38,65,65,56,43,79
FBgn0030576,211,218,512,325,182,186,247
FBgn0030581,381,349,710,462,416,416,513
FBgn0030582,560,710,1450,1066,789,845,1091
FBgn0030583,23,31,48,40,36,36,75
FBgn0030584,179,203,520,326,216,252,367
FBgn0030588,85,133,238,144,135,213,304
FBgn0030598,7,12,24,21,56,47,89
FBgn0030600,1968,1986,3128,2076,2146,2132,2515
FBgn0030603,426,466,937,718,510,568,725
FBgn0030605,454,573,886,641,496,602,636
FBgn0030610,163,259,435,259,222,242,303
FBgn0030611,69,108,211,161,97,112,134
FBgn0030612,272,371,509,557,233,280,382
FBgn0030615,59,59,116,70,56,49,95
FBgn0030616,16699,23318,41183,22040,18486,21189,24590
FBgn0030625,160,188,441,305,204,189,457
FBgn0030628,314,356,780,573,425,484,582
FBgn0030629,62,66,171,128,91,90,181
FBgn0030630,251,367,743,591,332,357,668
FBgn0030631,932,1045,1759,1258,991,1005,1227
FBgn0030638,577,704,1065,1017,852,917,1110
FBgn0030645,55,61,112,86,64,70,98
FBgn0030646,120,160,321,231,187,214,286
FBgn0030648,274,298,600,347,304,342,434
FBgn0030653,137,163,221,112,206,206,225
FBgn0030654,97,78,140,119,67,88,116
FBgn0030655,186,231,417,327,202,240,322
FBgn0030657,40,75,145,90,58,71,113
FBgn0030658,728,905,1382,1291,882,908,1078
FBgn0030659,286,360,694,422,351,379,489
FBgn0030660,100,114,164,167,153,135,245
FBgn0030662,450,486,775,431,723,820,787
FBgn0030667,60,67,231,122,90,103,207
FBgn0030668,138,194,332,272,180,204,265
FBgn0030669,127,178,334,253,149,168,280
FBgn0030670,415,482,1006,918,413,478,785
FBgn0030671,204,246,397,304,217,230,375
FBgn0030672,4513,5254,8466,7316,4148,4565,5858
FBgn0030673,51,74,166,120,68,78,124
FBgn0030674,7413,6580,12460,9002,8220,7840,9462
FBgn0030675,45,59,69,76,53,75,77
FBgn0030678,147,177,246,234,176,186,198
FBgn0030679,253,342,632,465,313,381,397
FBgn0030680,405,381,895,573,403,484,680
FBgn0030683,160,202,296,329,201,185,270
FBgn0030685,1512,1532,4223,2465,1333,1522,2646
FBgn0030686,266,369,719,467,345,366,476
FBgn0030687,522,544,972,951,648,668,810
FBgn0030692,487,584,1160,894,628,666,875
FBgn0030693,151,217,677,558,180,174,660
FBgn0030694,135,169,372,227,149,183,316
FBgn0030695,134,142,434,162,133,166,252
FBgn0030699,475,573,1192,786,530,544,837
FBgn0030700,26,44,76,53,29,38,74
FBgn0030701,954,984,1798,1377,1000,977,1411
FBgn0030703,1071,1312,3388,2094,1142,1245,2891
FBgn0030704,96,133,263,217,116,139,277
FBgn0030710,123,118,328,212,178,177,292
FBgn0030711,123,161,447,292,110,139,334
FBgn0030716,542,491,1106,670,693,740,960
FBgn0030717,210,238,428,411,250,257,373
FBgn0030718,584,737,1245,1184,821,941,1245
FBgn0030719,1576,1686,4720,2844,1759,1934,4395
FBgn0030720,878,1017,1889,1504,968,1028,1339
FBgn0030721,72,44,130,84,46,52,148
FBgn0030724,228,283,653,510,283,346,610
FBgn0030731,976,1093,1703,1387,1140,1210,1255
FBgn0030733,1080,1513,2637,2201,1484,1741,2738
FBgn0030734,2028,2512,6271,3583,2197,2601,4525
FBgn0030735,878,951,1795,1365,839,891,1523
FBgn0030737,76,78,153,120,105,117,121
FBgn0030738,683,679,1490,987,656,636,1148
FBgn0030739,204,252,477,370,268,257,441
FBgn0030740,1997,2611,4871,5001,2613,2728,4440
FBgn0030743,99,159,236,289,148,159,238
FBgn0030744,360,568,1198,860,451,489,927
FBgn0030745,413,572,1062,826,540,656,968
FBgn0030746,34,27,59,77,25,24,61
FBgn0030747,901,969,1836,1380,1141,1172,1692
FBgn0030748,496,553,1208,799,526,600,885
FBgn0030749,802,852,1665,1089,892,992,1284
